Technique,ISO_31010_Section,Prompt
"Bow Tie Analysis","B.4.2","Write a 'street math' screenplay based on Bow Tie Analysis (ISO 31010). Scenario: A veteran bouncer is explaining club security to a rookie. The 'central event' is a bar brawl. He must explain the 'preventative controls' (checking IDs, cutting off drunks) and 'reactive controls' (bouncers stepping in, calling cops), and how 'escalation factors' like a broken radio can ruin the controls."
"Decision Tree Analysis","B.9.3","Write a 'street math' screenplay based on Decision Tree Analysis (ISO 31010). Scenario: A street hustler is explaining to a friend whether to pay off a supplier now or dodge them. He must map out the sequence of future decisions, estimate the probabilities of the supplier's reactions, and calculate the 'expected value' of the final outcomes to find the best pathway."
"Monte Carlo Simulation","B.5.10","Write a 'street math' screenplay based on Monte Carlo simulation (ISO 31010). Scenario: A shady mechanic is explaining to a customer why their 'quick fix' request is a bad bet. The mechanic explains that he ran 100 'mental simulations' (iterations) of the random variables (part wear, driving habits, weather) to show the 'probability distribution' of the engine completely failing."
"Game Theory","B.9.4","Write a 'street math' screenplay based on Game Theory and the Prisoner's Dilemma (ISO 31010). Scenario: Two roommates broke the lease rules and the landlord offers a deal to whoever snitches first. One roommate uses game theory to explain to the other why their 'optimum strategy' is to cooperate with each other and stay quiet, rather than acting in their own immediate self-interest."
"Layers of Protection Analysis (LOPA)","B.4.4","Write a 'street math' screenplay based on Layers of Protection Analysis - LOPA (ISO 31010). Scenario: A heist crew planner is explaining the target vault to the crew. He breaks down the 'independent protection layers' (IPLs) like the cameras, the guards, and the vault door, and calculates the order of magnitude of failure for each to determine if the overall risk of getting caught is tolerable."
"Ishikawa (Fishbone) Analysis","B.3.3","Write a 'street math' screenplay based on Ishikawa (Fishbone) Analysis (ISO 31010). Scenario: A seasoned food truck owner is chewing out a new cook over a ruined lunch rush. He breaks down the failure using the '6Ms' (Methods, Machinery, Management, Materials, Manpower) to trace the root causes back to their origins."
"Pareto Charts","B.8.4","Write a 'street math' screenplay based on Pareto Charts / the 80-20 rule (ISO 31010). Scenario: A veteran bartender is teaching a rookie why they should ignore 80% of the minor complaints. He explains that 80% of their actual profit loss comes from just 20% of the causes (the 'vital few' vs. the 'trivial many')."
"Cross Impact Analysis","B.6.2","Write a 'street math' screenplay based on Cross Impact Analysis (ISO 31010). Scenario: A seasoned sports bookie is explaining to a young gambler how the star player spraining their ankle doesn't just change the odds of the game—it changes the 'conditional probabilities' of several other interdependent prop bets."
"Cost/Benefit Analysis (CBA)","B.9.2","Write a 'street math' screenplay based on Cost/Benefit Analysis and Net Present Value (ISO 31010). Scenario: A loan shark explains to a desperate borrower why a seemingly small $50 weekly interest payment is a massive negative 'net present value' over a year, discounting the future costs into 'today's money'."
"Markov Analysis","B.5.9","Write a 'street math' screenplay based on Markov Analysis (ISO 31010). Scenario: A subway busker is calculating the probability of shifting between discrete states: from a 'Good' train car, to a 'Fair' train car, and the expected time until they hit the 'Failed' state (getting kicked out by transit police)."
